"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"167","Diara","f","23",1,8,"control","l","bowl_displacement",369.68,105.59,154.305,176.664935064935,369.68
"168","Diara","f","23",1,8,"control","l","choice",449.23,61,220.6,234.224867256637,449.23
"169","Diara","f","23",1,8,"control","l","signaling",218,213.19,216.045,215.9745,218
"170","Diara","f","23",1,9,"p+g","r","addressing",214.21,149.24,179.27,181.2436,149.24
"171","Diara","f","23",1,9,"p+g","r","baiting",265.02,182.14,240.67,233.896711409396,182.14
"172","Diara","f","23",1,9,"p+g","r","bowl_displacement",449.2,175.65,213.83,236.018515625,175.65
"173","Diara","f","23",1,9,"p+g","r","choice",470.49,126.96,227.6,243.154606741573,126.96
"174","Diara","f","23",1,9,"p+g","r","signaling",441.25,82.13,237.8,241.764805194805,82.13
"175","Diara","f","23",1,10,"p+g","l","addressing",357.03,236.61,321.805,304.703076923077,357.03
"176","Diara","f","23",1,10,"p+g","l","baiting",219.37,114.64,206.51,203.838951048951,219.37
"177","Diara","f","23",1,10,"p+g","l","bowl_displacement",277.85,152.24,238.65,232.299836065574,277.85
"178","Diara","f","23",1,10,"p+g","l","choice",348.2,135.75,270.915,264.513522727273,348.2
"179","Diara","f","23",1,10,"p+g","l","signaling",378.58,310.35,328.6,335.052698412698,378.58
"180","Diara","f","23",1,11,"p+g","r","addressing",164.15,137.38,152.59,152.125,137.38
"181","Diara","f","23",1,11,"p+g","r","baiting",194.15,134.23,175.79,172.539571428571,134.23
"182","Diara","f","23",1,11,"p+g","r","bowl_displacement",310.55,158.39,202.69,219.525742574257,158.39
"183","Diara","f","23",1,11,"p+g","r","choice",291.03,130.3,209.81,212.225806451613,130.3
"184","Diara","f","23",1,11,"p+g","r","signaling",317.92,166.44,255.005,246.892575757576,166.44
"185","Diara","f","23",1,12,"p+g","r","addressing",222.86,158.75,182.4,183.52,158.75
"186","Diara","f","23",1,12,"p+g","r","baiting",305.65,75.71,183.81,192.14850931677,75.71
"187","Diara","f","23",1,12,"p+g","r","bowl_displacement",251.26,120.54,191.42,188.870183486239,120.54
"188","Diara","f","23",1,12,"p+g","r","choice",363.99,185.14,215.74,223.582988505747,185.14
"189","Diara","f","23",1,12,"p+g","r","signaling",277.87,185.32,190.32,195.628181818182,185.32
"190","Diara","f","23",1,13,"control","l","addressing",332.55,313.34,320.16,321.771764705882,332.55
"191","Diara","f","23",1,13,"control","l","baiting",306.46,226.7,286.44,280.110662650602,306.46
"192","Diara","f","23",1,13,"control","l","bowl_displacement",341.36,190.33,266.575,257.243253968254,341.36
"193","Diara","f","23",1,13,"control","l","choice",314.48,90.05,221.395,224.414239130435,314.48
"194","Diara","f","23",1,13,"control","l","signaling",318.49,305.72,311.28,311.047818181818,318.49
"195","Diara","f","23",1,14,"p+g","r","addressing",160.16,128.06,142.6,143.091818181818,128.06
"196","Diara","f","23",1,14,"p+g","r","baiting",307.21,97.33,176.515,186.149852941176,97.33
